Frakmt,Kommune
50-0 21/0346 Højre,Aabenrå
50-0 6/0221 Venstre,Aabenrå
50-0 20/0969 Venstre,Aabenrå
50-12 36/0886 Højre,Aabenrå
50-0 33/0006 Venstre,Aabenrå
50-4 22/0733 Venstre,Aabenrå
50-3 30/0231 Højre,Aabenrå
50-0 37/0619 Højre,Aabenrå
50-0 9/0290 Venstre,Aabenrå
50-0 14/0832 Venstre,Aabenrå
51-0 11/0073 Højre,Aabenrå
50-0 38/0403 Venstre,Aabenrå
50-0 39/0201 Venstre,Aabenrå
50-2 24/0338 Venstre,Aabenrå
50-0 21/0674 Højre,Aabenrå
50-0 19/0292 Højre,Aabenrå
50-0 11/0335 Venstre,Aabenrå
50-2 23/0589 Venstre,Aabenrå
51-0 8/0309 Højre,Aabenrå
50-0 33/0580 Højre,Aabenrå
51-0 7/0832 Højre,Aabenrå
51-0 13/0958 Højre,Aabenrå
50-0 34/0996 Højre,Aabenrå
50-0 31/0387 Venstre,Aabenrå
50-5 16/0100 Højre,Aabenrå
50-0 1/0812 Højre,Aabenrå
50-0 11/0275 Venstre,Aabenrå
50-11 25/0800 Højre,Aabenrå
50-0 7/0898 Højre,Aabenrå
50-0 13/0855 Højre,Aabenrå
51-0 8/0431 Højre,Aabenrå
50-6 16/0500 Venstre,Aabenrå
51-0 2/0988 Venstre,Aabenrå
51-0 4/0147 Venstre,Aabenrå
50-0 17/0441 Venstre,Aabenrå
50-0 29/0679 Venstre,Aabenrå
50-0 33/0341 Venstre,Aabenrå
50-0 26/0505 Venstre,Aabenrå
50-0 27/0416 Højre,Aabenrå
50-0 4/0242 Venstre,Aabenrå
50-0 8/0563 Højre,Aabenrå
51-0 2/0457 Højre,Aabenrå
50-0 28/0425 Højre,Aabenrå
51-5 6/0100 Højre,Aabenrå
51-0 3/0197 Venstre,Aabenrå
50-0 0/0540 Venstre,Aabenrå
50-3 16/0640 Højre,Aabenrå
50-0 8/0562 Venstre,Aabenrå
50-0 9/0517 Højre,Aabenrå
50-0 12/0735 Venstre,Aabenrå
51-0 12/0177 Højre,Aabenrå
50-0 2/0924 Venstre,Aabenrå
50-0 9/0494 Venstre,Aabenrå
50-0 10/0761 Venstre,Aabenrå
50-6 16/0331 Venstre,Aabenrå
50-0 31/0594 Venstre,Aabenrå
50-0 22/0159 Højre,Aabenrå
70-5 284/0622 Højre,Aalborg
70-0 284/0055 Venstre,Aalborg
90-0 2/0399 Venstre,Aalborg
90-0 9/0971 Højre,Aalborg
90-0 10/0054 Højre,Aalborg
70-0 293/0544 Venstre,Aalborg
90-0 15/0946 Venstre,Aalborg
80-0 302/0875 Højre,Aalborg
70-2 292/0517 Højre,Aalborg
70-0 277/0104 Venstre,Aalborg
70-0 274/0033 Venstre,Aalborg
70-5 278/0060 Højre,Aalborg
90-0 2/0416 Højre,Aalborg
70-0 295/0000 Højre,Aalborg
80-0 306/0850 Venstre,Aalborg
80-0 307/0904 Venstre,Aalborg
90-0 15/0773 Højre,Aalborg
70-0 275/0481 Venstre,Aalborg
90-0 9/0322 Højre,Aalborg
90-0 11/0500 Venstre,Aalborg
80-0 301/0140 Venstre,Aalborg
80-0 300/0181 Højre,Aalborg
90-0 3/0346 Højre,Aalborg
90-0 13/0048 Venstre,Aalborg
90-0 13/0156 Venstre,Aalborg
70-0 289/0354 Højre,Aalborg
70-0 284/0833 Højre,Aalborg
70-0 273/0453 Venstre,Aalborg
90-0 13/0475 Venstre,Aalborg
70-0 288/0157 Højre,Aalborg
90-6 7/0298 Venstre,Aalborg
90-0 5/0116 Højre,Aalborg
80-0 306/0683 Højre,Aalborg
90-0 6/0083 Venstre,Aalborg
90-0 6/0241 Højre,Aalborg
70-6 285/0911 Venstre,Aalborg
70-0 293/0943 Højre,Aalborg
80-0 305/0819 Højre,Aalborg
80-0 304/0376 Højre,Aalborg
90-0 14/0159 Venstre,Aalborg
90-0 5/0331 Venstre,Aalborg
12-0 14/0800 Venstre,Albertslund
4-0 4/0300 Venstre,Albertslund
12-6 13/0984 Venstre,Albertslund
4-0 4/0500 Venstre,Albertslund
4-3 5/0720 Højre,Albertslund
12-0 13/0095 Højre,Albertslund
12-4 13/0700 Venstre,Albertslund
12-5 13/0770 Højre,Albertslund
4-2 0/1468 Venstre,Albertslund
13-0 23/0940 Højre,Allerød
13-5 27/0570 Højre,Allerød
13-0 29/0600 Højre,Allerød
13-6 26/0940 Venstre,Allerød
13-6 26/0880 Venstre,Allerød
13-0 28/0420 Højre,Allerød
13-0 28/0840 Venstre,Allerød
13-0 23/0360 Venstre,Allerød
13-0 23/0380 Højre,Allerød
13-0 26/0320 Højre,Allerød
70-0 190/0184 Højre,århus
60-0 176/0593 Venstre,århus
60-0 173/0522 Venstre,århus
66-0 13/0952 Højre,århus
61-0 166/0932 Højre,århus
70-0 182/0681 Venstre,århus
407-0 9/0968 Venstre,århus
407-0 13/0140 Venstre,århus
72-5 3/0845 Venstre,århus
72-3 3/0219 Højre,århus
60-0 168/0464 Venstre,århus
60-0 170/0399 Venstre,århus
72-0 14/0987 Højre,århus
72-0 11/0607 Højre,århus
60-0 173/0040 Venstre,århus
61-0 167/0329 Venstre,århus
70-0 188/0795 Venstre,århus
72-0 0/0803 Højre,århus
70-0 183/0983 Højre,århus
60-0 171/0357 Højre,århus
61-0 168/0304 Højre,århus
72-0 3/0544 Venstre,århus
60-0 167/0295 Venstre,århus
72-0 13/0249 Højre,århus
61-5 169/0641 Venstre,århus
72-0 5/0168 Højre,århus
72-3 7/0790 Højre,århus
61-0 170/0778 Venstre,århus
66-0 11/0434 Venstre,århus
66-0 15/0592 Venstre,århus
60-0 169/0677 Venstre,århus
72-0 15/0680 Højre,århus
60-0 178/0095 Venstre,århus
60-0 171/0993 Venstre,århus
61-0 170/0103 Venstre,århus
61-0 173/0889 Højre,århus
72-0 10/0572 Højre,århus
72-0 11/0483 Højre,århus
72-0 7/0153 Højre,århus
72-0 13/0327 Venstre,århus
72-0 6/0491 Højre,århus
70-0 185/0608 Højre,århus
66-0 11/0561 Venstre,århus
66-0 12/0137 Venstre,århus
61-0 169/0311 Højre,århus
72-0 8/0272 Højre,århus
61-0 173/0837 Venstre,århus
61-0 169/0786 Venstre,århus
72-0 5/0247 Højre,århus
60-0 170/0281 Venstre,århus
60-0 174/0544 Venstre,århus
60-0 177/0017 Højre,århus
60-0 176/0975 Højre,århus
60-0 180/0560 Venstre,århus
61-0 173/0013 Højre,århus
40-0 178/0959 Venstre,Assens
40-0 181/0395 Venstre,Assens
40-0 179/0813 Venstre,Assens
40-0 185/0165 Venstre,Assens
40-0 175/0573 Venstre,Assens
40-0 177/0764 Venstre,Assens
40-0 183/0687 Højre,Assens
40-0 183/0707 Venstre,Assens
40-6 176/0294 Venstre,Assens
40-0 184/0693 Venstre,Assens
40-0 179/0404 Venstre,Assens
40-0 183/0567 Højre,Assens
40-0 182/0039 Venstre,Assens
40-0 174/0286 Venstre,Assens
40-0 184/0364 Venstre,Assens
40-0 185/0941 Venstre,Assens
12-0 14/0950 Venstre,Ballerup
4-6 6/0365 Højre,Ballerup
4-4 6/0094 Højre,Ballerup
522-0 21/0330 Venstre,Ballerup
4-4 6/0203 Venstre,Ballerup
363-0 26/0022 Venstre,Billund
3-8 54/0227 Midt,Brøndby
3-0 49/0574 Venstre,Brøndby
3-0 51/0101 Højre,Brøndby
3-1 54/0426 Højre,Brøndby
10-0 11/0358 Højre,Brøndby
10-0 12/0620 Højre,Brøndby
11-4 8/0557 Venstre,Brøndby
80-0 314/0460 Venstre,Brønderslev
90-0 21/0817 Venstre,Brønderslev
90-0 25/0775 Højre,Brønderslev
90-0 26/0668 Venstre,Brønderslev
90-0 27/0568 Højre,Brønderslev
80-0 310/0320 Højre,Brønderslev
80-0 328/0868 Højre,Brønderslev
80-0 310/0601 Højre,Brønderslev
80-0 319/0732 Venstre,Brønderslev
80-0 309/0269 Venstre,Brønderslev
90-0 18/0280 Venstre,Brønderslev
80-0 321/0901 Højre,Brønderslev
90-0 18/0498 Højre,Brønderslev
80-0 316/0001 Venstre,Brønderslev
80-0 318/0457 Venstre,Brønderslev
80-0 325/0244 Venstre,Brønderslev
80-0 324/0165 Højre,Brønderslev
80-0 328/0693 Venstre,Brønderslev
80-0 315/0817 Højre,Brønderslev
90-0 24/0847 Højre,Brønderslev
80-0 326/0419 Højre,Brønderslev
80-0 323/0752 Højre,Brønderslev
80-0 325/0994 Venstre,Brønderslev
80-0 311/0987 Højre,Brønderslev
90-0 19/0953 Højre,Brønderslev
80-0 322/0538 Højre,Brønderslev
522-0 30/0230 Venstre,Egedal
522-0 30/0260 Højre,Egedal
522-0 33/0150 Højre,Egedal
522-0 31/0540 Højre,Egedal
522-0 24/0771 Venstre,Egedal
135-0 26/0310 Venstre,Egedal
522-0 22/0000 Højre,Egedal
522-0 23/0271 Højre,Egedal
12-0 16/0000 Venstre,Egedal
522-0 30/0840 Højre,Egedal
522-0 23/0140 Venstre,Egedal
522-0 28/0710 Højre,Egedal
